article,title,chunks,tokens,chunk_s,embed_s,upsert_s,total_s
0,New York Awards $9 Million to Strengthen Cybersecurity at 15,2,579,0.401,0.369,0.909,1.679
1,Black Hat USA 2026 – Summary of Vendor Announcements (Part 1,9,2113,0.37,1.303,0.789,2.463
2,Visa to Acquire Fraud Intelligence Firm BioCatch for $2.4 Bi,3,477,0.204,0.418,0.39,1.012
3,Cyberattack Hits Liechtenstein’s Register of People Behind C,2,192,0.178,0.256,0.389,0.824
4,River Bank Says Hackers Deleted Data Stolen in Ransomware At,2,392,0.234,0.285,0.38,0.9
5,Horizon3 Raises $250 Million to Fund Continuing Growth,5,934,0.317,0.693,0.641,1.651
6,N‑able Patches Vulnerability Exploited to Hack N-central Ser,3,592,0.286,0.403,0.39,1.078
7,Brinks Home Discloses Data Breach as Hackers Leak Files,2,357,0.253,0.298,0.41,0.962
8,Recent SonicWall Vulnerabilities Exploited in Ransomware Att,3,585,0.286,0.448,0.509,1.243
9,Russian State APT Linked to Recent Public Wi-Fi Gateway Hack,3,681,0.316,0.415,0.505,1.236
10,US Water Cyberattacks Extend Beyond Minnesota to at Least 6 ,4,742,0.287,0.546,0.659,1.493
