fetchingDate,creationDate,author,authorLink,articleLink,articleTitle,articleText
2026-07-19 20:28:58,"Jul 14,2026",enisa-europa,https://enisa.europa.eu/,https://enisa.europa.eu/news/enisa-on-air-our-first-podcast-launches-on-frontier-ai,ENISA on Air: Our first podcast launches on Frontier AI,"ENISA launches a podcast series to decrypt the latest cybersecurity developments and discuss issues that shape Europe's cybersecurity landscape.

ENISA wanted to provide its audiences with a new channel to share updates from the Agency but importantly to create a space where we will have the opportunity to promote ENISA’s cybersecurity expertise and raise awareness for EU level cybersecurity and its opportunities.
Through this podcast series, the Agency looks at the risks, the trends, the decisions that matter from cyber resilience to emerging technologies to trust and cooperation needed for Europe's digital future. Hosted by ENISA Associate Chief Cybersecurity and Operations Officer Florian Pennings and ENISA Spokesperson Laura Heuvinck, this first series will bring a number of podcasts throughout 2026.
For our first episode, we welcomed Jaya Baloo, co-founder of AISLE™ and Razvan Gavrila, Head of Sector at ENISA, to explore the latest developments and impact of Frontier AI on cybersecurity. In July 2026, the Agency published a note on ‘ENISA’s View on Cybersecurity in the Frontier AI Era’ which provides national competent authorities in Member States and EU policymakers, defenders, and service providers with an initial set of recommendations to support them in their respective roles towards developing the necessary operational capabilities to face machine-speed threats.
Future episodes will address on key cybersecurity topics such as Europe’s cyber threat landscape, vulnerability management as well as flagship ENISA work such as the upcoming Single Reporting Platform and State of Cybersecurity in the Union 2026 report. 
Tune in, follow along and join the conversation! The podcast is available on YouTube, Spotify and Apple podcast and Deezer, with new episodes coming soon. 

ENISA on Air – YouTube Channel
ENISA on Air - Podcast - Apple Podcasts
ENISA on Air | Podcast on Spotify
ENISA on Air - Deezer
ENISA’s view on Cybersecurity in the Frontier AI Era | ENISA"
2026-07-19 20:28:58,"Jul 13,2026",enisa-europa,https://enisa.europa.eu/,https://enisa.europa.eu/news/where-do-smes-stand-in-preparing-for-the-cyber-resilience-act,Where do SMEs stand in preparing for the Cyber Resilience Act?,"The EU Agency for Cybersecurity (ENISA) publishes the Micro, Small and Medium-sized enterprises (SME) Cyber Resilience Maturity Assessment Model, a simple and practical guidance for SMEs to support them assess their current status, identify improvements and strengthen their cyber resilience practices.

As SMEs make up a large part of EU´s digital ecosystem, their ability to understand and implement the Cyber Resilience Act (CRA)is significant for the regulation’s success. Particularly, as smaller organisations face practical challenges related to resources, expertise, time and implementation capacity. To help address this, as part of the European Commission’s SME cybersecurity strategy, ENISA is working on practical guidance, tools and support activities tailored to the realities and needs of smaller organisations.
The SME Cyber Resilience Maturity Assessment Model provides a structured approach for SMEs to evaluate and strengthen their overall cyber resilience, while taking into account the requirements of the CRA. The model is primarily intended for organisations that manufacture and place products with digital elements on the market, as these are directly subject to CRA requirements. However, it can also be used by other organisations involved in the product life cycle, such as integrators or service providers, to assess and improve their product security practices.
It focuses on the following five domains, with each domain divided into five maturity criteria that reflect expected practices under the CRA and product security approaches:

governance and documentation,
risk management and security by design and by default,
vulnerability and patch management,
product life cycle management,
awareness, competence and skills.

The model suggests three maturity profiles: basic, intermediate and advanced, intended to show how consistently product-related risks are managed in the organisation. Overall, this model reflects practices supporting the implementation of the CRA and supports organisations in strengthening their product security and cyber resilience over time in a structured and manageable way. However, having an advanced maturity level does not replace legal obligations and should not be considered evidence of compliance. 
To support practical implementation, the maturity model includes a downloadable Excel tool that guides users through the process, automatically calculates maturity scores and helps SMEs to track progress across repeated self-checks.
A survey on SMEs preparedness in light of the CRA
ENISA recently published the findings of the ENISA SME CRA Survey, conducted in February and March 2026. The survey covered awareness of the CRA, understanding of its requirements, existing cybersecurity practices, organisational responsibilities and anticipated challenges related to compliance. Additionally, the survey gathered feedback on the support SMEs need and established a baseline for their maturity in product security practices. 
In line with the European Commission definition of SMEs, the sample included SMEs, covering microcompanies, small companies and medium-sized companies. A total of 194 organisations responded from 31 countries, including 25 EU Member States, and geographical groupings.
Key findings of the report

Gap between awareness and practical readiness. 66 % of respondents had heard of CRA before the survey but results suggest that there is still room for improvement in understanding practical requirements.
The size of the enterprise is the most consistent factor influencing the level of maturity. Across all five domains in the survey, medium-sized companies scored about one point higher than microcompanies on average. 
Incident response and product life cycle management is the weakest area overall, particularly for microcompanies. 
Practical templates are the most requested form of support. Technical documentation templates and secure development templates were each requested by more than 70 % of respondents.
The challenge of resources, cost and time management for SMEs, with 142 of the responded underlining the need for financial support.
SMEs do not rely on a single source of CRA information, thus effective outreach will require a combination of communication formats and platforms.

Based on the findings, the report provides recommendations on the identified challenges covering documentation and conformity assessment, technical documentation templates, incident response and product life cycle management, financial support as well as the specific recommendations for microcompanies. 

SME Cyber Resilience Maturity Assessment Model
SME CRA Survey Report | ENISA
SME Cyber Resilience Act Survey | ENISA
SMEs Cybersecurity | ENISA"
2026-07-19 20:28:58,"Jul 10,2026",enisa-europa,https://enisa.europa.eu/,https://enisa.europa.eu/news/team-europe-wins-1st-ever-international-cybersecurity-challenge-for-women,Team Europe wins 1st ever International Cybersecurity Challenge for women,"For the past 2 days, women only international teams competed against one another and tested their cybersecurity skills and related competences. Ireland staged this first international competition dedicated to women. Congratulations to the winning team: Team Europe!

The 2-day event hosted in Dublin, brought together elite women cybersecurity competitors coming from all over the world. The challenge tested them on technical excellence, but also adaptability, coordination, communication, and strategic thinking under pressure.
The success of the female Team Europe in past competitions is a testimony of how our European values remain at the core of ENISA’s endeavours to lead change in an impactful way.
Objectives
The event aims to foster the next generation of women leadership in cybersecurity. This international challenge therefore offered a unique opportunity for the promotion of women in cybersecurity roles.
9 teams competed, each representing a region of the world 
These teams included team Asia, team Africa, LAC Women’s Cyber Team, Team Oceania, UK Cyber Team, US Cyber Team, Ukraine G1rlUn1ty, Team Canada and Team Europe. Each team was associated with the name drawn from myth or urban legends.
What did the challenge consist of?
The WICC moves beyond traditional ‘Capture The Flag’ (CTF) formats to create a more dynamic and engaging competitive experience.
Teams were challenged on cryptography, reverse engineering, digital forensics, web exploitation, binary exploitation, hardware security, open-source intelligence (OSINT) and attack & defence.
However, in the process of solving such challenges, teams also needed to remain alert to evaluate opportunities and risks so that they could take time-sensitive tactical decisions throughout the event.
The competition was therefore designed to be technically demanding, to require a strategic mindset, and collaborative efforts.
And the winners are:
1st place: Team Europe
2nd place: US Cyber Team
3rd place: Team Oceania
Side networking events
Workshops, discussion panels and other events allowed participants to meet organisers, industry professionals, researchers, and the wider cybersecurity community. The full programme came in support of collaboration, knowledge sharing, mentorship and international community building.
The role of ENISA
ENISA directly supports the participation of the female Team Europe in the Women International Cybersecurity Challenge 2026 (WICC2026), in close partnership with the European Cybersecurity Competence Centre (ECCC) and the European Commission.
ENISA is a dedicated advocate of initiatives addressing gender inequality in cybersecurity. This includes supporting the participation of the female Team Europe as well as all the women who volunteered as coaches and trainers. ENISA is particularly grateful to all these women who helped run the bootcamps in order to prepare competitors for the qualifiers and hence form the final team.

Home - Women's International Cybersecurity Challenge 2026
European Cybersecurity Competence Centre and Network
International Cybersecurity Challenge (ICC) | ENISA
European Cybersecurity Challenge (ECSC) | ENISA"
2026-07-19 20:28:58,"Jul 01,2026",enisa-europa,https://enisa.europa.eu/,https://enisa.europa.eu/news/your-perspective-matters-join-the-nis360-survey,Your Perspective Matters: Join the NIS360 survey,"ENISA launches a survey for both national authorities and high criticality entities under NIS2 in preparation of the next edition of the NIS360 report.

Following the publication of the NIS360 2026 report in May 2026, a new assessment cycle has now started with the launch of data collection and surveys for the NIS360 2027 edition.
For this assessment, data is collected via an online platform using two structured questionnaires designed to assess cybersecurity maturity by combining insights from the private sector with perspectives from national authorities. The NIS360 surveys are carefully designed to ensure that data collected each year remains comparable and reflects overall trends. All responses are analysed in aggregate form, ensuring confidentiality.
What’s new in the survey?
The survey for both authorities and entities has been simplified, is quick to complete and features a user-friendly interface. It also introduces new features that allow registered entities to receive a benchmarking report, compare themselves with their peers, and better understand where they stand.
Your responses are essential for ENISA’s assessment of sectoral cybersecurity maturity and criticality under NIS360.Share your feedback by taking part to the survey by 30 October 2026 via the following link: https://enisa.enablor.dk/auth/register/survey/eca2ce47cdd14826b095192fbdc15edc?lang=en
The survey will be used to prepare the new NIS360 report, which will be published in 2027.
For any further information regarding the survey, please contact NIS360@enisa.europa.eu. 
About the ENISA NIS360 report
The ENISA NIS360 aims to work as an annual assessment tool supporting national authorities, policymakers and other stakeholders in assessing the cybersecurity maturity and criticality of high criticality sectors under the NIS2 Directive.
Under the NIS360, a sector’s maturity is determined by: legislation and its effectiveness, companies and their preparedness, authorities and their institutional capacity, and sectoral ecosystem structures and their effectiveness.
The assessment relies on a structured methodology developed and continuously refined by ENISA that takes into account the structural and gradually evolving nature of sectoral cybersecurity maturity and criticality. It also builds on evidence gathered over time from organisations operating within the in-scope sectors, national authorities supervising those organisations, but also EU-level data, to reflect our latest evidence-informed understanding of where each sector stands. As a result, the NIS360 provides both a comparative overview of sectors and a more detailed analysis per sector to help identify gaps and prioritise resources.

ENISA NIS360 survey 
ENISA NIS360 – 2026 Report 
NIS360: The bigger picture on maturity and criticality of NIS critical sectors | ENISA – Press release 2026"
2026-07-19 20:28:59,"Jun 11,2026",enisa-europa,https://enisa.europa.eu/,https://enisa.europa.eu/news/cyber-europe-2026-all-eyes-on-the-eus-collective-response-and-resilience,Cyber Europe 2026: All eyes on the EU’s collective response and resilience,"Powered by the EU Agency for Cybersecurity, the 8th edition of the Cyber Europe exercise took place on 10-11 June, with the goal of enhancing cyber preparedness and ensuring continuity of essential services while protecting European rail and maritime networks.

The two-day exercise simulated realistic large-scale cybersecurity incidents that escalated to cyber crises affecting EU’s interconnected transportation systems. Participants needed to analyse advanced technical cybersecurity incidents, while dealing with the pressure generated by complex scenarios, inspired by real-case events and threats. Central to their efforts was the effective sharing of relevant information with the right stakeholders and peers, contributing to an adequate level of situational awareness at technical, operational and political level. To bring this year's edition to life, ENISA collaborated with over 100 leading cybersecurity experts from national cybersecurity agencies, EU and EFTA's public and private sectors, as well as from EU Entities, bringing together over 5000 participants. 
Henna Virkkunen, Executive Vice-President for Tech Sovereignty, Security, and Democracy, said: “Transport is essential to our economy and daily lives, but it is also a target for cyber threats. When ports or railways are hit, effects can reach far beyond transport, disrupting trade, military mobility and crisis response. As hybrid threats blur the line between civilian and military infrastructure, preparedness is not optional. Cyber threats cross borders in seconds. Europe must be able to act just as fast, together with its closest partners.”

ENISA Executive Director, Juhan Lepassaar, said: “Cyber dependencies across Europe’s critical infrastructure is our operational reality. Our interconnected systems that drive our economies and societies also expose us to common threats, thus cybersecurity is a shared responsibility. Cyber Europe is where we work together to build our preparedness and response to be ready when crisis hits.” 

The transport sector holds a vital socioeconomic role amidst the current geopolitical situation. According to ENISA Threat Landscape findings, transport has been in the top-five most target sectors for the past two years. Both the rail and maritime subsectors are inherently complex environments composed of many different stakeholders. They exhibit comparable levels of digitalisation and share a common challenge: integrating legacy Operational Technology (OT) with modern systems without compromising strict safety and reliability standards. Their dependence on supply chains and third-party providers contributes to their overall exposure to cyber threats, while their increasing role in military logistics raises their strategic importance and potential attractiveness as targets. The ENISA NIS360 report revealed that both sectors are in the risk zone, with lower-than-average cybersecurity maturity and criticality that exceeds their maturity.
What happened in Cyber Europe: A glimpse of the scenario
Critical maritime and railway infrastructures across Europe were simultaneously targeted in a coordinated cyberattack, causing severe operational disruptions. Port logistics and navigation systems were compromised, leading to cargo movements being halted and safety risks such as near-collision incidents. At the same time, direct interference hit railway networks, causing cross-border trains to freeze and thousands of commuters and supplies to be delayed. Adding to the challenges, transport authorities and ticketing services were the target of a ransomware attack which paralysed administrative and passenger service operations. The attack exposed sensitive passenger and emergency information, fuelling hacktivist disinformation in social media.
Testing the EU Cybersecurity Blueprint and Cybersecurity Reserve 
The evolution of the cybersecurity threat landscape coupled with geopolitics, accelerated the need for stronger cyber crisis management. This year's edition put the EU Cyber Blueprint to the test, as coordinated action was needed at the technical, operational, and political levels to respond in times of crisis. The revised Blueprint for cybersecurity crisis management was adopted in June 2025, aiming to strengthen the response to large scale incidents and crisis in the EU. 
For the first time, the EU Cybersecurity Reserve was also tested under the umbrella of Cyber Europe. The Reserve mechanism was set in motion through a scenario, where players were expected to follow ENISA’s Standard Operating Procedure for activating cybersecurity incident response under the EU Cybersecurity Reserve. Foreseen in Article 14 of the EU Cyber Solidarity Act, the Reserve it is operated by ENISA and consists of incident response services from trusted managed security service providers.
What comes next
Rather than isolated events, exercises should be seen as part of a continuous cycle of building preparedness, enhancing skills and capabilities, and strengthening response in an evolving cybersecurity landscape. Following ENISA’s Cybersecurity Exercise Methodology, an evaluation and analysis will be carried out to obtain insights and identify weaknesses. The findings arising from this process will be consolidated in the After-Action reports that aims to highlight lessons learned and provide guidance for improvements towards strengthening our preparedness and response processes. 

Cyber Europe | ENISA
Cybersecurity Preparedness DIY: Build Your Own Cybersecurity Exercise | ENISA
Cyber Europe 2024: Unveiling key insights from the cyber exercise that tested the cybersecurity of EU’s energy sector | ENISA
Cyber Europe tests the EU Cyber Preparedness in the Energy Sector | ENISA"
2026-07-19 20:28:59,"May 28,2026",enisa-europa,https://enisa.europa.eu/,https://enisa.europa.eu/news/nis360-the-bigger-picture-on-maturity-and-criticality-of-nis-critical-sectors,NIS360: The bigger picture on maturity and criticality of NIS critical sectors,"This year’s edition of the ENISA NIS360 report shows improvement in cybersecurity maturity of EU critical sectors while the level of criticality in sectors remains comparatively more stable.

The ENISA NIS360 aims to work as an annual assessment tool supporting national authorities, policymakers and other stakeholders in assessing the cybersecurity maturity and criticality of high criticality sectors under the NIS2 Directive.
ENISA Executive Director, Juhan Lepassaar, said: “The findings of this NIS360 report provide grounds to be optimistic. The implementation of the comprehensive EU cybersecurity regulatory framework, and particularly NIS2, has brought significant improvements. ENISA stands for prioritising cybersecurity and advancing the implementation of EU policies, which are vital now more than ever, to enhance the cyber resilience of our critical infrastructure and societies.”.

The report has a comprehensive approach, where each sector is understood to comprise relevant actors (i.e., national authorities, entities, EU bodies) and applicable rules (EU legislation). In this regard, a sector’s maturity under the NIS360 is determined by: legislation and its effectiveness, companies and their preparedness, authorities and their institutional capacity, and sectoral ecosystem structures and their effectiveness.
The assessment relies on a structured methodology developed and continuously refined by ENISA that takes into account the structural and gradually evolving nature of sectoral cybersecurity maturity and criticality. It also builds on evidence gathered over time from organisations operating within the in-scope sectors, national authorities supervising those organisations, but also EU-level data, to reflect our latest evidence-informed understanding of where each sector stands. 
As a result, the NIS360 provides both a comparative overview of sectors and a more detailed analysis per sector to help identify gaps and prioritise resources. 
Defining the Risk Zone

A combination and joint interpretation of the criticality and maturity dimensions helps identify areas where mismatches exist between the two and define a risk zone. 
The risk zone includes sectors with lower-than-average maturity and criticality that exceeds their maturity. This year’s risk zone includes health, railway, maritime, ICT management service, space, public administrations, drinking and waste water. 
Its composition changes over time as overall maturity improves across sectors. This explains why three sectors — railway, drinking water, and waste water — previously at the risk zone boundary, are now within the risk zone. A positive development is that the gas sector has started moving out of the risk zone.
Such shift is driven by improved information sharing, stronger collaboration, and better implementation of risk management measures, leading to higher maturity.
Deep-dive on criticality
While criticality of the sectors is defined by NIS2, the NIS360 assessment ranks the sectors taking into account several elements, such as systemic relevance, exposure, and impact of disruption. As these factors typically change gradually, criticality scores tend to remain relatively stable from year to year. 
In this year’s edition, sectors such as banking, electricity, aviation, space, and digital-by-default services (including telecommunications, cloud, and data centres) remain the most critical.
Space has joined this group this year, reflecting its growing role in society and across other sectors, which increases dependency, impact, and time criticality. The railway sector increased in criticality due to its growing role in military logistics, and the heightened cyber threat exposure. 
Spotlight on maturity 
Maturity is measured by how effectively and consistently the sector manages cybersecurity risks and capabilities over time, meaning the overall preparedness of the sector. Since the previous edition of this report, cybersecurity maturity across EU critical sectors seems to be steadily improving as organisations respond to the evolving policy requirements and to the cyber threats they face. 
Three sectors, including trust services, aviation, and financial market infrastructures (FMIs) moved into the high maturity band. In addition, four sectors strengthened their maturity within the moderate band: gas, road, maritime, and health. 
This improvement is often driven by several compounding factors including developments in cybersecurity legislation, increased political attention, but also progress across specific maturity dimensions assessed. Particularly, on cybersecurity legislation, findings of the 2025 ENISA NIS Investments study also suggest that it has acted as a key driver for cybersecurity investment and has encouraged organisations to strengthen their cybersecurity posture.
Despite maturity steadily improving across critical sectors, progress still remains uneven both across and within sectors. A number of factors contribute to these variations including skill shortages, sector-specific characteristics and even organisational size.
Moving forward
In the future, it is anticipated that cybersecurity legislation and organisations’ efforts to strengthen their cybersecurity maturity will continue to prompt cybersecurity investment and drive preparedness, leading to more sectors moving out of the risk zone.

NIS360 report
ENISA NIS360 2024 report: A comprehensive look at cybersecurity maturity and criticality of NIS2 sectors | ENISA
ENISA NIS360 2024 | ENISA
NIS Investments 2025 | ENISA"
2026-07-19 20:28:59,"May 20,2026",enisa-europa,https://enisa.europa.eu/,https://enisa.europa.eu/news/5th-consecutive-victory-for-team-europe-the-still-undefeated-eu-champions-of-the-international-cybersecurity-challenge,"5th consecutive victory for Team Europe, the still undefeated EU Champions of the International Cybersecurity Challenge","Outstanding Team Europe made it again to the top step of the podium of the 5th edition of the International Cybersecurity Challenge, taking ownership of the winning title for the past five years.

This year’s edition of the International Cybersecurity Challenge was hosted in Brisbane, Australia. With a total of 7 teams from Europe, Asia, LATAM and Caribe, Africa and North America more than 60 countries were represented.The ICC gathers top cybersecurity talents every year who come from all over the world. They are given a unique opportunity to compete and test their cybersecurity skills in an international setting.
ENISA warmly congratulates all the winning teams:

Team Oceania in 3rd place,
Team USA in 2nd place,
And Team Europe, securing the international title for the 5th time in a row! 

The European Commission Executive Vice-President for Tech Sovereignty, Security and Democracy, Henna Virkkunen, said: ""Once again, Team Europe won the International Cybersecurity Challenge against the world’s best young cyber talents! This fifth consecutive title is not just a competition result – it is a signal of Europe’s strategic depth in cybersecurity. At a time when cybersecurity is evolving at machine-speed, having such talented [human] cyber expertise is a strategic asset for the future of our cybersecurity.”

The EU Ambassador to Australia, Gabriele Visentin, said: “Cybersecurity is a core pillar of our shared security and as global threats evolve, cooperation between like-minded partners is increasingly essential to protect and strengthen the resilience and security of the functioning of our democracies.Through participation in practical, accessible activities like the ICC, the European Union is strengthening ties, supporting young talent, and deepening partnerships with Australia and across the Indo-Pacific.  Cyberattacks know no borders, and all layers of a digital society can be impacted.”

The ENISA Executive Director, Juhan Lepassaar, said: “The unfailing success of Team Europe gives us hope for the future. Indeed, our cybersecurity resilience can only grow if we plant the right cybersecurity mind-set today. Providing our young talents with both incentives as well as tough problems is key to the development of the workforce of the future.”

The ECCC Executive Director, Luca Tagliaretti said: “The victory of Team Europe showed us that great results can be achieved when working together. The strength of our team lies in the exceptional talent of our players, their commitment but most of all in their ability to complement each other and be together as one.

As a global Capture the Flag event (CTF), the International Cybersecurity Challenge (ICC) is designed to encourage the development of cybersecurity skills and to foster international cooperation. The format of the event with teams made up of nationalities from all over the world allows team members to experience cultural differences and learn how to still be able to efficiently cooperate to achieve their goals.
The ICC was originally launched and led by the European Union Agency for Cybersecurity (ENISA) in 2022. Cybersecurity is a team sport and the event is organised thanks to the cooperation with both regional and international organisations.
Teams competed against each other by solving complex cybersecurity puzzles, involving classic Jeopardy challenges – such as cryptography, reverse engineering, forensic, web exploitation – that are updated with contemporary software and technology challenges, like cloud, AI, Operational Technology (OT) environments, mobile applications and IoT. ICC also features an Attack and Defense competition, where players are requested to defend vulnerable services through patching while exploiting vulnerabilities of other teams and eventually steal flags. 
To prepare the team, ENISA, in cooperation, for the first time this year with the ECCC, facilitates a structured training programme in close collaboration with Team Europe’s official coaches. This includes training bootcamps, an official qualifier event, and a series of online training sessions aimed at developing both technical skills and team cohesion. The team’s preparation and success would not have been possible without the dedication, guidance and expertise of the coaches: Mario Polino, Pedro Adao, Sanne Maasakkers, Ioannis Agrafiotis, Rick de Jager and Dragos Albastroiu.
Future International Cybersecurity Challenge
The next International Cybersecurity Challenge (ICC 2027) will return the competition to Europe for the first time since it was first held in Athens, Greece in 2022. The ICC will take place in October 2027 in Ireland.
ENISA, together with the ECCC and European Commission, will support the Woman International Cybersecurity Challenge (WICC) in Dublin this summer, bringing together top female cybersecurity talents from Europe and partner regions. This event will include hands-on technical challenges, mentoring opportunities, and international collaboration activities, providing a dedicated platform to showcase and strengthen women’s participation in cybersecurity. 
The initiative builds on ongoing efforts to promote diversity, inclusion, and equal access to cybersecurity careers worldwide. 

Home - International CyberSecurity Challenge
International Cybersecurity Challenge (ICC) | ENISA
Cyber Unbeatable: Team Europe Aces the 2025 International Cybersecurity Challenge | ENISA"
2026-07-19 20:28:59,"May 06,2026",enisa-europa,https://enisa.europa.eu/,https://enisa.europa.eu/news/new-cve-numbering-authorities-under-enisa-root,New CVE Numbering Authorities Under ENISA Root,"Today, four organisations have newly joined the Common Vulnerabilities and Exposures (CVE™) Program as CVE Numbering Authorities (CNAs) under ENISA Root. These organisations were all trained and onboarded by ENISA.

ENISA acts as CVE Root for European entities within its scope, including vulnerabilities discovered by or reported to EU CSIRTs. As CVE Root, ENISA also supports the gradual transition of existing European CNAs under its Root. As part of the shared global responsibility for vulnerability management, currently, seven CNAs have moved from MITRE Root to ENISA Root, in addition to the four new CNAs in the Program.
Hans de Vries, Chief Cybersecurity and Operations Officer, stated: ""Onboarding and training our first CNAs under ENISA Root is a major milestone for European cybersecurity. It strengthens Europe’s operational contribution to the global CVE Program and improves the reliability, timeliness, and coordination of vulnerability handling across the EU. At a time when frontier AI models are accelerating vulnerability discovery and exploitation, Europe’s vulnerability management capacity must keep pace and provide trusted operational support to the wider cybersecurity community.""

The growing CVE Program
The number of CNAs under ENISA is growing quickly, with several additional organisations requesting to be onboarded in the coming weeks.
ENISA works closely with CNA candidates during the transition and onboarding process to ensure operational readiness, clarity of scope, and alignment with the CVE Program requirements and rules.
There are currently over 90 CNAs in Europe that can transfer voluntarily under ENISA Root, out of a total of 510 CNAs from 42 countries and 1 CNA with no country affiliation, actively participating in the CVE Program. As Europe already represents nearly one fifth of all CNAs around the world, and as the CVE Program continues to rapidly grow globally, ENISA, as CVE Root for European entities, plays a significant role in supporting the European cybersecurity ecosystem.
Why does it matter?
Building more consistent, timely, and coordinated vulnerability identification across Europe
ENISA’s role as CVE Root further strengthens the Agency’s support to the CSIRTs Network and to its broader community of partners. In doing so, ENISA contributes to more consistent, timely, and coordinated vulnerability identification and handling across Europe. This role is carried out in close coordination with CISA and MITRE, as part of a shared commitment to strengthen the resilience, quality, and long-term sustainability of the global CVE Program. It also reflects ENISA’s wider objective of reinforcing, rather than fragmenting, the shared global vulnerability identifier backbone on which governments, vendors, researchers, and defenders rely.
Expanding the capacity and operational maturity of EU vulnerability services
Frontier AI models are challenging traditional security paradigms by compressing the vulnerability management lifecycle and attack chain, from discovery to exploitation. Given the expected increase in reported and discovered IT vulnerabilities, ENISA has been growing its capacity and expertise, and intends to further augment its operational resources and scalable support mechanisms in partnership with Member States. Additional capacities to reinforce this function have been proposed in the Cybersecurity Act 2.
Additional information
What is the role of ENISA as CVE Root?
ENISA became a CVE Root for European entities in November 2025. As such, ENISA serves as the central point of contact within the CVE Program for national and EU authorities, EU CSIRTs Network members, and cooperative partners under ENISA’s mandate.
ENISA’s role as Root includes recruiting, onboarding, training, supporting, and managing CNAs within its scope, facilitating their transition where relevant, and ensuring the effective assignment of CVE Identifiers (CVE IDs) and publication of CVE Records. This role also helps ensure that CVE Program rules, guidelines, and processes are followed.
About the CVE Program 
The mission of the CVE™ Program is to identify, define, and catalog publicly disclosed cybersecurity vulnerabilities. There is one CVE Record for each vulnerability in the catalog. The vulnerabilities are discovered then assigned and published by organizations from around the world that have partnered with the CVE Program. Partners publish CVE Records to communicate consistent descriptions of vulnerabilities. Information technology and cybersecurity professionals use CVE Records to ensure they are discussing the same issue, and to coordinate their efforts to prioritize and address the vulnerabilities."
2026-07-19 20:28:59,"Apr 22,2026",enisa-europa,https://enisa.europa.eu/,https://enisa.europa.eu/news/assess-your-national-cybersecurity-capabilities-and-maturity-with-the-updated-enisa-framework,Assess your National Cybersecurity Capabilities and Maturity with the updated ENISA Framework,"ENISA has released the updated National Capabilities Assessment framework – NCAF 2.0,  a methodology aimed at supporting national authorities strenghten their cybersecurity capabilities and assess the maturity of national cybersecurity strategies’ implementation.

The revised National Cybersecurity Capabilities Framework – NCAF 2.0 and online tool provide national authorities with a practical and flexible tool to better understand where the implementation of National Cybersecurity Strategies (NCSS) stands and where further efforts should be directed. Through its structured assessment approach, the framework allows Member States to identify strengths, gaps, and priority areas.  By assessing the maturity of the objectives defined within national strategies, it helps authorities track progress, both at strategic and operational levels.
At EU level, NCAF 2.0 provides a common reference framework to facilitate mutual learning, the exchange of best practices, and discussions on cybersecurity capability development. It reflects the evolving EU cybersecurity policy landscape and is aligned with key legislative initiatives such as the NIS2 Directive. It also supports Member States in preparing for the voluntary peer review process foreseen under Article 19 of the NIS2 Directive. 
Who can benefit from this framework?
The NCAF, and the tool associated with, are mainly addressed to policymakers, experts and government officials responsible for or involved in designing, implementing and evaluating an NCSS and, on a broader level, cybersecurity capabilities.
Ultimately, the updated framework contributes to strengthening the collective cybersecurity posture of the EU, while allowing Member States to adapt the assessment to their national context and priorities.
For more than a decade, ENISA has been directly supporting EU Member States in developing and implementing guidelines for their respective national cybersecurity strategies towards building trust, resilience and sufficient levels of transparency.

National Capabilities Assessment Framework 2.0 - 2026
NCAF 2.0 Online tool – 2026
National Cybersecurity Strategies – Guidelines Tools
National Cybersecurity Strategies – Interactive map"
2026-07-19 20:28:59,"Apr 03,2026",enisa-europa,https://enisa.europa.eu/,https://enisa.europa.eu/news/enisa-advances-the-certification-of-eu-digital-wallets,ENISA advances the certification of EU Digital Wallets,"ENISA launches a public consultation on the draft candidate EU Digital Wallet certification scheme, subsequent to the scheme’s development with the dedicated Ad Hoc Working Group.

Following the adoption of a regulation to establish the European Digital Identity Framework, the European Commission has requested ENISA to provide support for the certification of European Digital Identity (EUDI) Wallets, including the development of a candidate European cybersecurity certification scheme in accordance with the Cybersecurity Act.
The public consultation aims to validate the principles and general organisation of the proposed scheme, and to gather feedback on the proposed elements of the draft candidate scheme and on its annexes. The deadline for providing responses is 30 April 2026.
Upcoming webinar
ENISA will organise a webinar to provide information about the EUDI Wallet draft candidate scheme and to answer questions on Wednesday 8 April, from 15:00 to 16:30 CEST. 
National EUDI Wallet certification schemes
In February 2026, ENISA signed a Contribution Agreement for 1.6 million EUR with the European Commission for two years to provide support for the development, roll-out and implementation of EU Digital Identity Wallet national certification schemes. Funded by the Digital Europe Work Programme (DEP) 2025-2027, the Agreement sets out the following clusters of activities that ENISA shall support:

Development of national certification schemes by Member States
Increased knowledge, skills, and mutual trust for Member States and the certification ecosystem 
Increased capacity and operational effectiveness for Member States and the certification ecosystem 
Initiated alignment and effective transition from national certification schemes to a European cybersecurity certification scheme

Member States are to provide at least one certified EU Digital Identity Wallet by the end of 2026. ENISA will support the European Commission and the Member States to set out cybersecurity controls in the digital identification field allowing its timely uptake across the EU.
What is the EUDI Wallet?
The use of digital wallets is a pivotal step towards a seamless and secure identification in both the physical and digital world. It ensures the security and protection of privacy of users and their personal data. The certification scheme will verify that each wallet meets high security requirements.
Wallet implementations have, until 2026, rarely undergone any formal certification. The development of certification schemes addresses the need for a coherent cybersecurity framework that facilitates compliance for manufactures, improves transparency and support the secure use of digital products and services. 
The EU Digital Identity Wallets will also be discussed at the 2026 European Cybersecurity Certification Conference titled Building trust through Certification: “Security Claims must be proven – not promised” on 15 April 2026, in Cyprus.

Draft candidate EUDIW Scheme v0.4.614 for Public Review - European Union Cybersecurity Certification
EUDI Wallet - European Union Cybersecurity Certification - European Union
EU Digital Identity Wallet: A leap towards secure and trusted electronic identification through certification | ENISA"
