fetchingDate,creationDate,author,authorLink,articleLink,articleTitle,articleText
2026-08-04 05:53:43,"August 3, 2026 (9:54 PM ET)",Security Week,https://www.securityweek.com,https://www.securityweek.com/new-york-awards-9-million-to-strengthen-cybersecurity-at-153-water-systems/,New York Awards $9 Million to Strengthen Cybersecurity at 153 Water Systems,"New York is awarding more than $9 million to help 153 drinking water and wastewater systems strengthen their defenses against cyberattacks.
Governor Kathy Hochul announced the funding Monday through the state’s Strengthening Essential Cybersecurity for Utilities and Resiliency Enhancements (SECURE) grant program.

The grants will fund cybersecurity assessments and the implementation of security improvements at local utilities. Recipients will also have access to no-cost technical assistance from the New York State Environmental Facilities Corporation (EFC).

The funding is intended to help utilities comply with minimum cybersecurity standards introduced by New York in March. Those standards include mandatory cybersecurity training for certified operators, incident reporting requirements, risk-based protections for critical operations and sensitive information, and the designation of a cybersecurity lead at larger drinking water systems.

When the SECURE program was launched, New York said utilities could receive up to $50,000 for cybersecurity assessments and up to $100,000 for implementing security upgrades.

“These threats are real and escalating,” Hochul said, pointing to the recent cyberattacks against water systems in multiple states.

The funding announcement comes shortly after a coordinated cyber campaign targeted operational technology systems at water and wastewater facilities across the United States. More than 30 community water systems in Minnesota were targeted on July 26 and 27.

Some municipalities reported disruptions to automated control functions, although contingency procedures allowed most facilities to remain operational.

The city of Braham briefly took its water plant offline after attackers shut down operating controls, stopping the well and water treatment plant. Other affected municipalities said their drinking water remained safe and services continued operating.

The campaign was subsequently found to have affected water infrastructure in at least seven states.Michigan confirmed malicious activity involving a small number of communities, while Rapid City, South Dakota, reported an incident involving a wastewater lift station. Georgia was also reportedly among the states targeted. No New York utility has been publicly linked to the campaign.

Federal investigators have not formally attributed the attacks. However, Iran has emerged as a leading suspect because the activity reportedly resembles previous campaigns linked to Iranian threat actors known to target industrial control systems and water utilities.

Following the attacks, the US Cybersecurity and Infrastructure Security Agency (CISA) urged water and wastewater operators to remove publicly exposed programmable logic controllers and other operational technology from the internet.

The agency also recommended changing default passwords, routing necessary remote access through secure gateways or virtual private networks, and restricting connections to trusted IP addresses.

The $9 million in cybersecurity grants is separate from a five-year, $3.8 billion clean water infrastructure investment included in New York’s fiscal year 2027 budget. The state said that investment will bring its total water infrastructure grants since 2017 to more than $10 billion."
2026-08-04 05:54:22,"August 3, 2026 (11:50 AM ET)",Security Week,https://www.securityweek.com,https://www.securityweek.com/black-hat-usa-2026-summary-of-vendor-announcements-part-1/,Black Hat USA 2026 – Summary of Vendor Announcements (Part 1),"Many companies are showcasing their cybersecurity products and services this week at the 2026 edition of the Black Hat conference in Las Vegas.
To help cut through the clutter, the SecurityWeek team is publishing a digest summarizing vendor announcements at Black Hat USA 2026, including new products and services, updates to existing offerings, reports, and other initiatives. 

The first part of this roundup covers announcements made in the days leading up to the event, as well as some of the announcements made on Monday, August 3.

Acalvio launches Deception Guardrails for AI agents
Acalvio has launched Deception Guardrails, a new capability within its ShadowPlex platform aimed at protecting AI agents from compromise. The feature deploys honeytokens, decoy tools, and fake infrastructure to lure and expose malicious activity targeting agentic AI environments. It also monitors agent interactions to flag jailbreak attempts, prompt injection, and other manipulation in real time. 

Artiphishell introduces Verifiable Remediation

Artiphishell, a DARPA-backed company, launched Verifiable Remediation as part of its Automated VulnOps Platform, aimed at helping teams cut through scanner noise and confirm that fixes actually work. The feature validates whether flagged vulnerabilities are real, filters out duplicates and false positives, and checks for exploitability before generating automated remediation. It then produces evidence-backed proof that a fix has addressed the underlying issue.

Arctic Wolf launches cyber resilience offering
Arctic Wolf has introduced a new Cyber Resilience offering that packages several of its existing products and services into one bundle. The suite combines managed detection and response, attack surface and vulnerability management, endpoint defense, and security awareness training. Customers using the offering are also eligible for the company’s security operations warranty, which covers up to $3 million in costs tied to a security incident.

BeyondTrust report ties majority of attacks to identity and privilege gaps
BeyondTrust’s Phantom Labs research team released its annual Research Index, drawing on the group’s offensive security work over the past year. The report found that 75% of attacks involved some form of identity or privilege issue, with credential exposure, privilege escalation, and identity misconfiguration among the leading root causes. These issues often compounded each other rather than appearing in isolation, with standing privilege and escalation frequently occurring together. 

Cato Networks adds agentic capability to predict AI-driven attacks
Cato Networks has launched Cato Agentic Threat Prevention, a new capability that uses autonomous agents to anticipate likely attack paths and tailor defenses to each customer’s environment. The feature draws on combined network and security telemetry from Cato’s platform to model risk across users, applications, and traffic patterns, then predicts how attackers might chain techniques or evade controls.

Cribl adds new AI security and observability capabilities to platform
Telemetry platform provider Cribl has unveiled new tools to help enterprises manage AI security and observability through their own telemetry data. The new tools include the Cribl App for AI Observability, which manages AI usage and risk; new detection engineering capabilities that identify coverage gaps; and stream-native detections in Cribl Stream that pinpoint high-confidence threats earlier.

Cycode adds agentic workflows to automate risk response
Cycode has launched Agentic Workflows, a new capability that lets AI agents autonomously triage, remediate, and manage security risks as they emerge across the application development lifecycle. Security teams define a workflow’s triggers, agent actions, and confidence thresholds, then let agents act automatically once a matching event occurs (such as a new critical CVE or a missed SLA on an exploitable finding). Teams can also set which actions require human review versus running autonomously. The feature is currently in early access.

Cyera launches Agent Guardian, new AI agent risk product
Cyera has introduced Agent Guardian and Cyera Endpoint, new capabilities designed to secure enterprise AI agents by providing visibility into agent activity, governing what agents can access, and enforcing runtime controls across cloud and endpoint environments. Agent Guardian continuously discovers, monitors, and protects AI agents from threats like prompt injection and unauthorized data access, while Cyera Endpoint extends those guardrails to local AI tools running directly on employee devices.

Flashpoint adds custom summary builder to threat intelligence platform
Flashpoint has launched a Custom Summary Builder within its AI Workspace for Investigations Management, part of the Flashpoint Ignite platform. The tool lets analysts choose from a set of report sections (such as executive summary, actors and entities, and TTPs) to tailor AI-generated investigation findings for different audiences, and save those configurations as reusable templates. Generated content can be traced back to the underlying Ignite data for review, and analysts can also query the investigation material through an AI chat function for follow-up questions. 

KnowBe4 extends Agent Risk Manager to cover Claude
KnowBe4 has added support for Anthropic’s Claude to its Agent Risk Manager, extending the tool’s governance layer beyond its existing support for Microsoft Copilot. The tool monitors agent behavior without altering the underlying model, using six detection engines to flag prompt injection, sensitive data leaks, privilege escalation, and unapproved tool access. It also includes a visual map of connected APIs and credentials to help security teams identify high-risk points if an agent is compromised. The feature is currently in early access for SAT Advanced customers on US-tenant accounts.

Miggo Security launches defense-in-depth mitigation solution
Miggo Security launched a defense-in-depth mitigation solution that closes the gap between vulnerability disclosure and patching. It uses AI-generated, tested controls at the edge and inside the application to quickly stop exploits and cut exposure windows. Miggo demonstrated the approach against two recent LiteLLM vulnerabilities, blocking one at the WAF and the other at runtime based on how each exploit actually worked.

Novee expands AI pentesting platform to mobile applications
Novee has expanded its AI pentesting platform to mobile applications, bringing continuous testing across mobile, web and the APIs connecting them into one platform. Customers can upload an Android app and receive proven findings within hours, combining reverse engineering with live runtime testing.

Prophet Security adds AI-driven detection engineering to SOC platform
Prophet Security has released AI Detection Engineer, a new addition to its Agentic AI SOC Platform that automates the process of building and maintaining detection rules. The tool analyzes an organization’s past investigations and threat hunting results to identify coverage gaps, author new detections, and tune existing rules to cut down on false positives. Each recommendation is backtested against historical data and comes with supporting evidence and a confidence score before being applied.

Realm Security adds detection integrity and search features to data platform
Realm Security has introduced two new capabilities, Detection Integrity and search in Data Haven. Detection Integrity maps SIEM detection rules to the log sources they depend on, letting teams reduce log volume while confirming existing detections still work. Data Haven, the platform’s retention layer, keeps a raw, OCSF-normalized copy of security data and now allows teams to search that history directly rather than restoring archived logs first. Both features are aimed at letting organizations lower SIEM ingestion costs without losing detection coverage.

SentinelOne expands autonomous SOC and Wayfinder AI services
SentinelOne unveiled two updates at Black Hat USA 2026. The first adds governed, closed-loop response to its Singularity Platform, letting Purple AI investigate alerts, reach verdicts, and execute response actions within limits set by security teams, with every action traceable and reversible (expected generally available later this quarter). The second expands Wayfinder Frontier AI Services, its managed offering that now pairs Anthropic’s latest models with SentinelOne analysts to find and validate exploitable vulnerabilities, backed by a new remediation partnership with LevelBlue, customizable MDR workflows, and threat hunting extended to identity platforms like Okta and Microsoft Entra ID.

Sweet Security announces new blocking capabilities
Sweet Security announced Agentic AI Blocking, the ability to stop rogue AI agents in live production, in real time. The new capabilities enable organizations to terminate unauthorized tool calls and sessions at runtime, stop secrets, PII, and sensitive data from leaving through an agent, and block prompt injections before they steer an agent off course. 

Varonis adds intent-based access control to Atlas platform
Varonis has introduced Agent Intent-Based Access Control (IBAC), a new capability in its Atlas platform that monitors whether an AI agent’s actions match its assigned instructions. The feature compares an agent’s reasoning, tool calls, and data access against its original task, with adjustable sensitivity settings, and can flag or block actions that fall outside that scope. It evaluates entire sessions to catch risks that build up over multiple turns, such as gradual jailbreak attempts. When a violation occurs, Atlas can quarantine the associated identity for a set period, while flagged actions can also be routed to a human for approval.

XM Cyber released open source exposure hunting tools
XM Cyber has released open source exposure hunting tools for macOS and Oracle Cloud. At Black Hat Arsenal, it will demonstrate FAInd my XPC, which uncovers macOS trust flaws that could let unprivileged attackers invoke privileged services, including paths to root code execution. At DEF CON, XM Cyber will unveil its Offensive OCI toolset, which maps effective Oracle Cloud permissions and exposes hidden privilege-escalation paths.

Zero Networks launches new tool for enterprise AI
Zero trust security firm Zero Networks has launched Least Agency Enforcement, a new AI security capability that allows enterprises to limit what AI agents can access, what actions they can perform, and when human approval is required, preventing agents from exceeding their intended authority. Least Agency Enforcement applies identity-based microsegmentation, automated policy enforcement, and just-in-time MFA to ensure AI agents communicate only with authorized systems, access only approved resources, and are contained if they’re manipulated, over-permissioned, or compromised."
2026-08-04 05:54:55,"August 3, 2026 (11:32 AM ET)",Security Week,https://www.securityweek.com,https://www.securityweek.com/visa-to-acquire-fraud-intelligence-firm-biocatch-for-2-4-billion/,Visa to Acquire Fraud Intelligence Firm BioCatch for $2.4 Billion,"Visa has agreed to acquire fraud prevention company BioCatch for $2.4 billion in cash as the payments giant looks to expand its cybersecurity and financial crime detection capabilities.
Founded in 2011, BioCatch provides behavioral biometrics technology that analyzes application, device, network and user activity to distinguish legitimate customers from fraudsters in real time.

Its artificial intelligence and machine learning models examine thousands of signals, including keystrokes, mouse activity, touchscreen gestures, device handling and signs that a user may be acting under coercion. The technology is designed to identify account takeovers, scams, money mule activity, application fraud and other financial crimes before a transaction is completed.

BioCatch says its technology analyzes 19 billion online banking sessions each month and protects 760 million users across 1.8 billion devices. The company serves more than 350 financial institutions in 21 countries, including over 100 of the world’s largest banks.

“BioCatch will help our clients stop fraud before it reaches the point of payment,” said Andrew Torre, president of value-added services at Visa. “This acquisition is part of our strategy to help clients prevent cyber threats upstream, building trust into every transaction.”

The acquisition will add BioCatch’s behavioral and device intelligence to Visa’s existing portfolio of cyber, fraud, risk and security products. Visa said it has invested more than $13 billion in technology and infrastructure over the past five years to protect the payments ecosystem.

Permira initially invested in BioCatch in 2023 and acquired a majority stake the following year in a transaction that valued the company at $1.3 billion.

The deal is part of a broader push by major payment companies to expand beyond transaction processing into cybersecurity and fraud intelligence. Mastercard completed its $2.65 billion acquisition of threat intelligence firm Recorded Future in 2024, while Visa acquired fraud prevention company Featurespace that same year.

BioCatch is being acquired from funds advised by private equity firm Permira and other shareholders. The transaction is subject to regulatory approvals and other customary closing conditions and is expected to close by the end of Visa’s fiscal second quarter of 2027."
2026-08-04 05:55:26,"August 3, 2026 (11:15 AM ET)",Security Week,https://www.securityweek.com,https://www.securityweek.com/cyberattack-hits-liechtensteins-register-of-people-behind-companies-and-foundations/,Cyberattack Hits Liechtenstein’s Register of People Behind Companies and Foundations,"A cyberattack tapped the data of some 31,000 people in Liechtenstein’s register of people behind companies and foundations in the wealthy principality, the government said.
The “register of economic beneficiaries” was accessed at night from Wednesday into Thursday last week, the government said. It said that the breach was noticed on Thursday, that measures were taken to secure data and the system taken offline.

The government said there were no indications that any data was altered or deleted.

The list of people behind companies, foundations and trusteeships is part of efforts to combat money laundering and terror financing.

Liechtenstein is a nation of 40,000 people between Switzerland and Austria, and the financial industry is central to its economy.

The government set up a crisis unit over the weekend to investigate the attack."
2026-08-04 05:55:58,"August 3, 2026 (9:02 AM ET)",Security Week,https://www.securityweek.com,https://www.securityweek.com/river-bank-says-hackers-deleted-data-stolen-in-ransomware-attack/,River Bank Says Hackers Deleted Data Stolen in Ransomware Attack,"River Financial Corporation, the bank holding company behind River Bank & Trust, says it received confirmation that data stolen in a ransomware attack was deleted.
The attack occurred on June 16 and was identified three days later. River’s investigation into the incident determined that ransomware was deployed across portions of its server environment.

In response, the company took the affected systems offline and disabled administrative accounts that had been compromised.

“River, with the assistance of a third-party forensic firm, is investigating the nature and scope of the incident, including whether any personally identifiable information was subject to unauthorized access or exfiltration,” the company said in a June 25 filing with the US Securities and Exchange Commission (SEC).

Subsequent 8-K forms filed with the SEC revealed that hackers accessed portions of River’s network and exfiltrated certain data and that at least four lawsuits have been filed against the company.

The investigation into the nature, scope, and impact of the incident, however, continues, and a July 30 filing shows that River has yet to determine if the hackers stole any personal information from its systems.

The filing’s wording, however, shows that the company has engaged with the hackers to have the stolen data deleted, likely as the result of a ransom payment.

“As part of its response, River took steps to attempt to suppress the affected data, including obtaining representations from the threat actor that it deleted the data in its possession,” River said.

The company has not shared details on the threat actor responsible for the incident, and it is unclear how the attackers compromised its network.

“River has not yet confirmed whether the incident is reasonably likely to materially impact its business or financial condition,” the company said.

SecurityWeek has emailed River for additional details on the ransomware attack and will update this article if the company responds."
2026-08-04 05:56:34,"August 3, 2026 (9:00 AM ET)",Security Week,https://www.securityweek.com,https://www.securityweek.com/horizon3-raises-250-million-to-fund-continuing-growth/,Horizon3 Raises $250 Million to Fund Continuing Growth,"Horizon3 has raised $250 million in a Series E funding round, tripling the firm’s valuation from $650 million to $2 billion in the year from June 2025. The new funding was co-led by existing investors NightDragon and NEA, with participation from seven new investors and five returning backers.
These are the facts. The details provide a code for the confidence that VCs and private investors have in a firm. A key number in this code is the valuation. It sounds important – and it is – but it is somewhat tenuous, being based on assumptions rather than fact. It is based on financiers’ belief in the firm concerned.

That belief comes from the firm’s past performance, the size of market it serves, and assumptions that both performance and market will continue to grow.

Horizon3 was founded in 2019. Its founders had concluded, explains the firm’s chief revenue officer, Matt Hartley, “AI will allow attacks at a speed and scale that will render human-centric defenses inadequate – cybersecurity will inevitably evolve into machines fighting machines at machine speed.”

Since every firm in the world requires cybersecurity defenses, and – at that time – most were human-centric and potentially obsolete, Horizon3 had identified a massive market and proceeded to develop a machine solution to the machine threat: the use of AI to tackle the growing AI threat.

The solution involves friendly agents that live inside the customer’s IT network. These agents probe the network, using the same AI techniques that an attacker would use, looking for weaknesses, and effectively writing a tutor’s report card on what they find.

“Here’s how we beat your defenses,” explains Hartley, “and most critically, here’s how you can fix those weaknesses so that you can’t be attacked in the same way by bad actors using similar AI.” The idea is to fix it before falling to it.

Horizon3 now has more than 7,000 customers in diverse vertical sectors including multinational banks and healthcare, with four Fortune 10 enterprises. Its market is unlimited by geography, sector, or size of customer, and it has achieved 120% year-over-year ARR growth.

Horizon3’s revenue performance since its founding, the continuous increase in the number of its customers, and recognition that this is only scratching the surface of the full potential market size provides confidence that the company will continue to grow in size and profitability. That confidence translates into further capital injection to assist further growth.

It’s not altruism. Hartley uses the pie metaphor. “The size of the pie keeps growing, and the financiers want a larger slice of the pie.” The key figure of valuation is an assumption of the size of the pie. Given the performance of the company and the size of the market, a further assumption is that further injection of capital assists further growth to benefit the company and enrich the investors.

Of course, gaining the investment is only half the equation. The investee must now prove the assumptions are correct or it will stagnate and eventually perish to rivals. 

“The predominant use of the funds will be for our go to market strategies,” says Hartley. Go to market (GTM) is the process of bringing a product to customers to generate revenue. To serve the size of its market, Horizon3 has partnered with MSPs and telcos. “Building the capacity to get out and service those various markets through those paths to market is a top priority for use of the funds we raise.”

The second use is continued investment in R&D. “AI attacks and innovation in AI never stops,” he continues. “Twenty years ago, you could build a product, go to market, and reduce or even stop R&D. That’s not the case where AI is involved. The AI threat grows hourly, if not by every minute, for the customer market. So, we will be using a lot of the funding proceeds to accelerate our R&D efforts to continue to stay ahead of these AI threats for our customers and partners.”

Equity investment is thus a dance between investors, whether VC firms or private investors or both, and the investee. Potential is the dance hall – potential revenue to benefit both parties.

We have used today’s Series E funding round for Horizon3 to illustrate and explain this dance. In this we have specifics – but the basic dance steps apply to all equity investment."
2026-08-04 05:57:05,"August 3, 2026 (8:34 AM ET)",Security Week,https://www.securityweek.com,https://www.securityweek.com/n-able-patches-vulnerability-exploited-to-hack-n-central-servers/,N‑able Patches Vulnerability Exploited to Hack N-central Servers,"N‑able has released patches for a vulnerability that has been exploited in the wild against users of its N-central remote monitoring and management (RMM) product.
The vulnerability, tracked as CVE-2026-18577, has been described as an authentication bypass issue that can be exploited to take over accounts in N-central versions prior to 2026.3.1.7. Both on-premises and cloud-hosted deployments are affected.

N-central is widely used by MSPs to monitor, patch, and remotely access customer servers and endpoints.

CVE-2026-18577 is not a new zero-day. Instead, N‑able has described it as a new method to exploit a previously patched vulnerability tracked as CVE-2026-18556.

It appears threat actors bypassed the patch for CVE-2026-18556 and started exploiting it in late July. The vendor initially saw an increase in licensing issues on July 31 and confirmed exploitation of CVE-2026-18577 on August 2.

Exploitation of the vulnerability has allowed attackers to gain admin access to the hacked N-central servers.

“Following exploitation, the attacker leveraged the Take Control feature and connected to systems within the N‑central managed environment. Once on those devices, the attackers registered a new service for a CloudFlare tunnel, enabling persistence into an environment after access to the N‑central server was revoked,” N-able said in its incident notice.

N-able said a “limited number of customers have been impacted,” but cybersecurity firm Huntress, which has also confirmed seeing attacks exploiting CVE-2026-18577, said many organizations had yet to patch their installations as of August 3.

“From an MSP perspective, exploitation of this flaw can grant an attacker full administrative access to an N-central console — the same level of control normally reserved for trusted NOC and engineering staff,” Huntress warned.

It added, “Once inside the console, a threat actor can: push new scripts and jobs to many or all managed endpoints; deploy and run dual‑use tools (for example, remote tunnels or discovery utilities) via the N-able agent; initiate remote‑control sessions into servers and workstations, including domain controllers and other critical systems; and modify security‑relevant configuration such as roles, accounts, and policies to pave the way for follow‑on activity.”

Indicators of compromise (IoCs) have been made available by both N-able and Huntress.

News of the exploitation of CVE-2026-18577 comes almost exactly one year after organizations were warned about the exploitation of the N-central vulnerabilities CVE-2025-8875 and CVE-2025-8876."
2026-08-04 05:57:45,"August 3, 2026 (7:45 AM ET)",Security Week,https://www.securityweek.com,https://www.securityweek.com/brinks-home-discloses-data-breach-as-hackers-leak-files/,Brinks Home Discloses Data Breach as Hackers Leak Files,"The infamous ShinyHunters extortion group has leaked over 41 gigabytes of data allegedly stolen from the physical security firm Brinks Home.
Headquartered in Dallas, Texas, Brinks Home provides home security systems backed by an alarm response center.

Last week, the company announced that hackers accessed a portion of its IT systems and that they threatened to leak information allegedly stolen during the incident.

“We are aware that such material may be posted publicly. Brinks Home is working diligently to determine what information was involved and who may be affected,” the company said in an incident notice.

Noting that it would notify potentially affected individuals if their personal information was compromised, Brinks Home pointed out that customers should remain “vigilant against unsolicited emails, text messages, or phone calls requesting personal information or account credentials”.

According to Brinks Home, its alarm monitoring and system functionality has not been affected, as the attackers did not access its products or services.

The company has not shared details on the threat actor responsible for the incident, but its disclosure came around the same time that ShinyHunters added Brinks Home to its Tor-based leak site.

More than 4.9 million records were stolen from Brinks Home’s Salesforce instance during the incident, the extortion group says.

Brinks Home hacked by ShinyHunters

As the physical security firm did not pay a ransom, the hackers have leaked online more than 41GB of files allegedly stolen during the incident.

Some of the stolen records, ShinyHunters claims, include personally identifiable information (PII). SecurityWeek has not independently confirmed the hackers’ claims."
2026-08-04 05:58:17,"August 3, 2026 (6:39 AM ET)",Security Week,https://www.securityweek.com,https://www.securityweek.com/recent-sonicwall-vulnerabilities-exploited-in-ransomware-attacks/,Recent SonicWall Vulnerabilities Exploited in Ransomware Attacks,"The INC Ransomware group is responsible for most of the recent activity surrounding two fresh vulnerabilities in SonicWall’s SMA1000 secure remote access appliances, Resecurity reports.
Tracked as CVE-2026-15409 (CVSS score of 10) and CVE-2026-15410 (CVSS score of 7.2), the security defects allow unauthenticated remote attackers to open a WebSocket tunnel to restricted services and escalate their privileges to root.

Patched on July 14 and added to CISA’s Known Exploited Vulnerabilities (KEV) catalog on the same day, the two flaws had been exploited in the wild as zero-days since at least June 22.

Cybersecurity firm Volexity attributed the observed exploitation to a threat actor tracked as UTA0533, noting that it was harvesting credentials from the hacked appliances and deploying malicious files, but was less successful in moving laterally to other systems.

Rapid7, on the other hand, observed threat actors pivoting from SMA1000 devices into internal corporate networks, likely after deploying a backdoor on the compromised appliances.

Now, Resecurity says that, of the various threat actors chaining CVE-2026-15409 and CVE-2026-15410 for SMA1000 compromise, the INC Ransomware gang has emerged as the most active one.

“Notably, as of the beginning of August 2026, INC Ransomware has accelerated its activity. Multiple new victims have been published on their Data Leak Site (DLS),” the company says.

Over the past couple of weeks, the ransomware group has listed on its leak site private and government sector organizations from the US, Australia, UAE, Colombia, and Switzerland, among others.

“Resecurity has assisted several victims with DFIR and vulnerability assessments to contain the root cause of the compromise, but also learned about the following new developments: many of the new victims received emails, as well as phone calls from unknown organizations claiming to assist with ransomware issues,” the company says.

In one instance, the email came from a domain registered after the exploitation activity, through a Chinese domain registrar.

The victims were also contacted by phone by a threat actor calling themselves Andrew and claiming to be representing a group of hackers. 

“At the end of the call, the individual provided the email address info@helprans[.]com for further negotiations and then ended the call. Such methods are frequently used by ransomware groups as ‘pressure tactics’,” Resecurity notes.

As ransomware groups continue to target the SonicWall vulnerabilities, users are advised to patch their SMA1000 appliances as soon as possible and to perform threat hunting to identify potential compromises."
2026-08-04 05:58:52,"August 3, 2026 (5:17 AM ET)",Security Week,https://www.securityweek.com,https://www.securityweek.com/russian-state-apt-linked-to-recent-public-wi-fi-gateway-hacking/,Russian State APT Linked to Recent Public Wi-Fi Gateway Hacking,"A Russian state-sponsored APT is behind a recent credential theft campaign mounted via hacked public Wi-Fi gateway appliances at organizations running captive portal networks, Microsoft reports.
The campaign was flagged roughly a week ago by ReliaQuest, which noticed that hackers had modified the DNS configurations of compromised small office/home office (SOHO) routers to redirect users to attacker-controlled infrastructure.

The attackers were using the adversary-in-the-middle (AitM) technique to intercept the Microsoft 365 credentials of traveling employees within the financial services, professional services, legal, healthcare, energy, and retail sectors.

ReliaQuest pointed out that the campaign shared similarities with FrostArmada, an espionage operation mounted by Russia-linked APT28 (also known as Forest Blizzard and Fancy Bear), but did not make a clear attribution.

Now Microsoft says that Storm-2945, a subgroup of Midnight Blizzard (also tracked as APT29, Cozy Bear, the Dukes, and Yttrium), a threat actor believed to be sponsored by the Russian Foreign Intelligence Service (SVR), is behind the fresh campaign, dubbed CaptiveCrunch.

Midnight Blizzard is known for targeting government and diplomatic entities, non-governmental organizations (NGOs), and IT services providers in the US and Europe for intelligence gathering in support of Russian foreign policy interests.

“Midnight Blizzard operations often involve compromise of valid accounts and, in some highly targeted cases, advanced techniques to compromise authentication mechanisms within an organization to expand access and evade detection,” Microsoft notes.

Storm-2945, the tech giant says, started manipulating DNS and HTTP traffic from captive portal networks, such as those at hotels, conference centers, and other shared venues, in May, likely through access to shared services within the captive portal ecosystem.

As part of CaptiveCrunch, the attackers have been serving Golang-based Windows remote access trojans (RATs) in the form of browser updates. The malware enabled reconnaissance, credential and session token theft, file and keystroke collection, audio and video surveillance, and remote shell access.

The threat actor has been using various ClickFix techniques to convince users to download malware and appears to have been targeting Android users with similar methods to entice them into fetching and installing an APK file.

“To date, Microsoft has identified widespread compromise of Wi-Fi networks at hospitality-related organizations and other networks serviced by captive portal equipment in several countries,” the company notes.

Storm-2945 targeted Windows users with the CornFlake RAT and infostealer implant and the ChocoShell PowerShell-based infostealer, and managed its infrastructure and agents via the FruitStone web-based command-and-control (C&C) panel.

Over the past two weeks, Microsoft says, some CaptiveCrunch landing pages have been directing victims to device code authentication flow experiences, instructing them to enter device codes into Microsoft sign-in pages to authenticate the threat actor’s session.

“This activity is consistent with previously reported device code phishing operations conducted by Midnight Blizzard since August 2024. The observed technique does not appear fundamentally novel; however, integrating device code phishing into captive portal and traffic manipulation operations might increase the likelihood that users perceive the authentication request as legitimate,” Microsoft notes."
